Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
48511229,12/28/2020 02:21:14 AM,12/29/2020 07:39:02 AM,DOT,Department of Transportation,Highway Condition,Pothole - Highway,Highway,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,12/29/2020 07:39:10 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Belt Pkwy,East/Queens Bound,Ramp,Knapp St Sheepshead Bay (Exit 9A),,,,,,,,,
48511698,12/28/2020 11:49:00 AM,01/04/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/04/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48511805,12/28/2020 07:14:00 AM,12/28/2020 08:40:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,BOWERY,CANAL ST,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,12/28/2020 08:40:00 AM,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
48512517,12/28/2020 01:54:22 PM,03/16/2021 07:34:28 AM,DOT,Department of Transportation,Highway Condition,Graffiti - Highway,Highway,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,03/16/2021 07:34:31 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,West Shore Expwy,Northbound,Ramp,Woodrow Rd (Exit 3),,,,,,,,,
48513697,12/28/2020 03:15:43 AM,12/30/2020 04:13:02 PM,DOT,Department of Transportation,Ferry Complaint,General Complaint,Ferry,,,,,,,,,,,,Closed,,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists.",12/30/2020 04:13:02 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48514076,12/28/2020 03:43:00 AM,12/29/2020 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,12/29/2020 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48517452,12/27/2020 06:26:00 PM,12/28/2020 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,12/28/2020 12:00:00 PM,,,,,,ONLINE,Unspecified,,,,,,,,,,,,,,,,,
48518634,12/27/2020 06:13:00 PM,12/28/2020 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E5 Loose Rubbish,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,12/28/2020 12:00:00 PM,,,,,,ONLINE,Unspecified,,,,,,,,,,,,,,,,,
48521531,12/28/2020 10:52:00 PM,01/06/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/06/2021 12:00:00 PM,,,,,,ONLINE,Unspecified,,,,,,,,,,,,,,,,,
48522096,12/29/2020 03:37:52 PM,12/29/2020 04:43:17 PM,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,11234,STRICKLAND AVENUE,STRICKLAND AVENUE,57 PLACE,MAYFAIR DRIVE,57 PLACE,MAYFAIR DRIVE,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/29/2020 04:43:22 PM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,,,,,,
